HotelName,ReviewID,ReviewDate,ReviewStar,CountReviews,ReviewerProfile,ReviewerContribution,ReviewerLocation,ReviewHelpfulVotes,DateOfStay,ResponseDate,TripType,ValueScore,ServiceScore,Sleep QualityScore,RoomsScore,LocationScore,CleanlinessScore,City_Country,ISO,YEAR,ReviewText,ResponseText
Home2 Suites by Hilton Shenandoah the Woodlands,787496819,21-Apr,10,149,/Profile/eduardosR5483TG,1,"Houston, Texas",,21-Apr,4/29/21,,20,10,,,,20,TX,USA,2021,"I spent almost 2 weeks at this place, summary: Rude Manager (I requested an upgrade to a suite 3 times, however his majesty the manager didn’t allow it because they didn’t want to clean an empty suite - please note I’m a Gold member and have been diamond for years) the rest of the staff at least was courteous  It’s a very noisy place, often woke up in the middle of the night thanks to other people slamming doors, you have to request housekeeping services a day in advance and hope his majesty the manager approves it, otherwise you almost have to beg to get a room cleaned,","Dear Eduardo Santana:  Thank you for taking the time to share your experience about your recent stay at our hotel. As a Hilton Honors member, you are among our most valued guests. We sincerely appreciate your feedback and we're very sorry you were unhappy. We will take your comments under consideration as we continually work to improve our guest experience. We hope you will consider staying with us in the future.  Sincerely,  Homar Ortiz General Manager Home2 Suites"
Home2 Suites by Hilton Shenandoah the Woodlands,787378922,21-Apr,50,149,/Profile/cards42leal,1,"Houston, Texas",,21-Mar,,,50,50,50,50,50,50,TX,USA,2021,I could not have asked for a better stay in the Houston area.  My family and I were very comfortable and the General Manger and staff were all very accommodating!  We had to extend our stay several times and they never made us feel like we were bothering them! Thanks again!,
Home2 Suites by Hilton Shenandoah the Woodlands,785865562,21-Apr,50,149,/Profile/betsyalor,1,"The Woodlands, Texas",,20-Dec,4/6/21,Traveled on business,50,50,40,50,50,50,TX,USA,2021,"Staff very professional, work hard to keep everywhere clean. Prompt service, excellent breakfast, quite environment and always clean. Night staff are very amazing with excellent security system in place","Dear betsyalor,  I wanted to say thanks for your recent stay here at Home2 Suites. We hope you felt at home during your stay. We can't wait to welcome you back home!   Sincerly Home2 Team"
Home2 Suites by Hilton Shenandoah the Woodlands,784977541,21-Mar,50,149,/Profile/franciscohV9494RA,1,,,20-Dec,4/6/21,,,50,,50,,50,TX,USA,2021,"Great place for long stays !  Very friendly personnel, and very convenient location close to many amenities and stores. Very comfortable and clean rooms. Stayed there for over two months - great experience. Very good value for the money. Lots of parking space. Very safe location.","Dear franciscohV9494RA ,  I wanted to say thanks for your recent stay here at Home2 Suites. We hope you felt at home during your stay. We can't wait to welcome you back home!   Sincerly Home2 Team"
Home2 Suites by Hilton Shenandoah the Woodlands,782281794,21-Feb,10,149,/Profile/texaslovesmickeymoue,43,"Tyler, Texas",23,21-Feb,,Traveled as a couple,,,,,,,TX,USA,2021,"Here’s the short of it. I asked for fresh towels per the sign on the bathroom mirror, and was told that housekeeping only comes in on Mondays. Additionally, I was told I can come to the front desk and get some towels there. No one offered to bring towels to my room. It was a you want it, you come and get it. So at 7:00 pm, I came to an empty front desk and stood there for awhile. Called the number for someone with no answer. Finally found towels myself on the front desk. What has happened to hospitality? I’m not too good to get myself some towels, but no effort was made at all to show any kind of hospitality. Sign on the front says if you are unhappy for any reason a refund will be given. I’d love to hear from hotel management. Also, I must have not been the only one requesting towels, as our hotel hallway was lined with dirty towels outside of peoples rooms. Looks like I wasn’t the only one. …",
La Quinta Inn by Wyndham - The Woodlands North,781611594,21-Jan,30,311,/Profile/HonestReviews4U31,64,"Chicago, Illinois",5,21-Jan,2/19/21,,,20,,,,,TX,USA,2021,"From a safety issue, I'd probably avoid this hotel.  The only room access that I could see is via the outside. In other words, there is no entry via the lobby, which could be locked and only persons with room keys could enter the building after a certain time at night.  ln other words; There is no central hallway inside the hotel in order to access rooms. You enter your room from the outside, so anyone outside could possibly kick-in your door.  I had literally just got out of the hospital and accessing a room was going to be challenging due to an injured leg in a walking cast.  In short: I advised the clerk that due to my injury, I needed to go to another La Quinta, and asked if she would transfer my reservation to another local hotel.  She said she could not and for me to cancel the current reservation, I had to call Wyndham Hotels customer service.  After speaking with 2 people in customer service, I was advised that the clerk had not cancelled my reservation and that I was going to get charged for one night. Customer service advised that the clerk could cancel the reservation with no charge if she wanted to cancel it.  I had to go back to the hotel, and after a terse discussion related to my medical challenges and their hotel's layout challenges for me to even access a room, the reservation was cancelled with no charge.  Be forewarned: With Wyndham, their franchise hotels to do NOT have one standard reservation policy.  Each hotel gets to, ""make their own rules"" as it pertains to customer service and reservations.  Once the reservation was cancelled with no charge, I went to the La Quinta in Spring, TX nearby and got a handicapped access room that I could easily enter and exit.  NOTE: Had the clerk at this hotel treated me decently, I would have considered staying there in the future once my injured leg healed, Yet, based on how I was treated, I won't stay there. Ever.…","Thank you for your review. I'm sorry to here you had such a frustrating experience, but I really appreciate you bringing this issue to my attention."
La Quinta Inn by Wyndham - The Woodlands North,778309562,20-Dec,10,311,/Profile/jamiebrett2020,1,"Conroe, Texas",,20-Nov,12/4/20,,10,30,20,10,40,10,TX,USA,2020,"Our bathroom flooded within 3min of being there so they moved us and I saw 2 roaches and a few other bugs as well, we were in a hurry to leave so I didn’t mess with it. We got back around 2am and I saw 2 more roaches and that morning my makeup bag had other bugs all around it. Both rooms had the worse smell ever. The only reason we stayed was bc we literally just came there to sleep basically. I would never go back to this “hotel” even if you paid me. Disappointed bc we usually like la quintas ",We always aim to deliver a great experience. We are gutted when we miss the mark! Thanks for taking the time to bring this to our attention. We will use the feedback to make us better and to ensure this doesn't happen again.
La Quinta Inn by Wyndham - The Woodlands North,774987326,20-Oct,10,311,/Profile/757phyllisa,2,Frisco,,20-Oct,10/26/20,,,10,,10,,10,TX,USA,2020,"This motel was dirty, couldn't even use the hangers because there was dust all over them .  The bathtub was dirty, sink was stopper was stuck so we had to dig it out  and when we did it was full of hair, floor was dirty.    The desk clerk was scatterbrained.  Said we didn't have reservation, then she found it after we waiter forever.  I will never stay there again.",We always aim to deliver a great experience. We are gutted when we miss the mark! Thanks for taking the time to bring this to our attention. We will use the feedback to make us better and to ensure this doesn't happen again.
La Quinta Inn by Wyndham - The Woodlands North,750088628,20-Mar,10,311,/Profile/875sharon,1,"Conroe, Texas",,20-Mar,3/9/20,,10,10,10,10,10,10,TX,USA,2020,"The room was so run down, my mom wouldn't even stay after she arrived.  Her house is being remodeled and she couldn't stay in it.   She left and went to stay with a friend.  They would not refund the cost. ","Thank you for your feedback.  We apologize for any issues that occurred during your stay.  We are trying our best to improve this hotel, but it does take time.  Again, sorry for any inconvenience."
La Quinta Inn by Wyndham - The Woodlands North,748971798,20-Mar,30,311,/Profile/nmlf32,1,,,20-Feb,,,30,30,20,20,40,20,TX,USA,2020,Hotel was affordable in price . Restrooms are tiny found cracks on the door like someone put a fist through it . I wouldn’t choose this hotel again . Breakfast area was too small. We went to Denny’s next door instead .  Good part was that it was near the mall . ,
